Наименование материала;Тип материала;Изображение;Цена;Количество на складе;Минимальное количество;Количество в упаковке;Единица измерения
Гранулы серый 2x1;Гранулы;нет;50339.00;779;44;7;кг
Краска зеленый 0x1;Краски;нет;30581 рублей;869;7;2;л
Краска синий 0x0;Краски;не указано;18656.00;796;29;8;кг
Краска серый 2x1;Краски;отсутствует;46579 руб.;706;45;5;л
Нить белый 0x1;Нитки;не указано;36883.00 ₽;101;43;10;м
Гранулы зеленый 1x2;Гранулы;нет;45083;575 в наличии;15;9;л
Краска серый 0x1;Краски;не указано;35063.00;768 в наличии;27;2;л
Гранулы цветной 0x1;Гранулы;нет;24488.00 ₽;746;50;3;л
Гранулы белый 3x1;Гранулы;отсутствует;43711;На складе: 995;27;8;л
Нить зеленый 0x2;Нитки;отсутствует;17429 рублей;578 в наличии;20;2;м
Гранулы зеленый 0x2;Гранулы;нет;38217;На складе: 206;34;4;л
Краска цветной 1x2;Краски;не указано;47701 рублей;На складе: 299;50;10;л
Краска зеленый 1x0;Краски;нет;52189 руб.;На складе: 626;17;8;кг
Гранулы серый 0x0;Гранулы;не указано;16715.00 ₽;На складе: 608;12;5;л
Гранулы синий 0x3;Гранулы;отсутствует;45134 руб.;На складе: 953;48;5;кг
Краска цветной 2x1;Краски;не указано;1846 рублей;На складе: 325;45;1;л
Нить синий 2x3;Краски;отсутствует;43659;На складе: 10;21;5;м
Нить синий 2x1;Краски;не указано;12283;На складе: 948;13;9;г
Гранулы белый 1x1;Гранулы;отсутствует;6557.00 ₽;93 в наличии;11;4;л
Краска синий 1x3;Краски;отсутствует;38230 руб.;265 в наличии;17;6;кг
Краска зеленый 3x0;Краски;\materials\image_1.jpeg;20226.00 ₽;261;7;2;л
Нить зеленый 1x0;Нитки;не указано;8105.00;На складе: 304;43;9;г
Краска цветной 0x2;Краски;нет;2600.00;595 в наличии;38;7;л
Нить синий 3x1;Краски;нет;4920 руб.;На складе: 579;48;7;м
Краска зеленый 0x2;Краски;отсутствует;39809 рублей;На складе: 139;23;9;л
Краска синий 3x3;Краски;нет;46545 руб.;740;24;6;кг
Краска зеленый 1x1;Краски;\materials\image_6.jpeg;40583 рублей;103;34;2;кг
Краска цветной 2x3;Краски;не указано;46502 рублей;443 в наличии;46;9;л
Нить цветной 3x0;Нитки;отсутствует;53651.00;На складе: 989;14;1;м
Гранулы серый 2x3;Гранулы;не указано;47757.00 ₽;467;28;6;л
Краска белый 1x0;Краски;нет;3543 руб.;95 в наличии;6;6;л
Гранулы серый 3x1;Гранулы;не указано;10899 руб.;762;6;10;кг
Гранулы серый 2x0;Гранулы;\materials\image_8.jpeg;8939 рублей;312;21;3;кг
Нить белый 0x2;Нитки;отсутствует;29271.00;43;19;4;г
Гранулы зеленый 1x1;Гранулы;\materials\image_4.jpeg;46455.00 ₽;10 в наличии;19;4;л
Нить серый 0x2;Краски;\materials\image_9.jpeg;45744.00;На складе: 504;10;3;м
Гранулы белый 0x2;Гранулы;нет;9330.00;На складе: 581;40;2;л
Нить цветной 3x2;Нитки;отсутствует;2939;831;46;3;м
Гранулы белый 3x0;Гранулы;не указано;50217 рублей;208;7;6;л
Нить серый 1x2;Нитки;нет;30198.00;На складе: 292;30;1;м
Краска белый 0x1;Краски;отсутствует;19777 руб.;423;47;7;л
Гранулы цветной 0x3;Гранулы;нет;1209 руб.;723;44;7;кг
Нить серый 1x3;Краски;отсутствует;32002 рублей;На складе: 489;25;1;г
Гранулы белый 2x3;Гранулы;нет;32446;274;8;4;л
Краска зеленый 3x1;Краски;отсутствует;32487 руб.;657 в наличии;19;10;л
Гранулы цветной 3x2;Гранулы;нет;28596.00 ₽;32;45;1;л
Нить белый 2x0;Краски;отсутствует;46684;На складе: 623;23;2;м
